id,name,alias,length,ratio
tsk_4a57abb949e35,structured clinical interview for diagnostic and statistical manual of mental disorders (dsm-iv),structured clinical interview for diagnostic and statistical manual of mental disorders (dsm-iv),96.0,100
tsk_4a57abb949e35,structured clinical interview for diagnostic and statistical manual of mental disorders (dsm-iv),dsm-iv structured clinical interview for diagnostic and statistical manual of mental disorders,94.0,92
tsk_4a57abb949e35,structured clinical interview for diagnostic and statistical manual of mental disorders (dsm-iv),structured clinical interview for diagnostic and statistical manual of mental disorders,87.0,95
trm_5176cf9d3d512,living/nonliving judgment on mirror-reversed and plain-text words,living/nonliving judgment on mirror-reversed and plain-text words,65.0,100
trm_56a2b7c08a279,short penn continuous performance test-number and letter version,short penn continuous performance test-number and letter version,64.0,100
trm_523f58d91f2c0,beery-buktenica developmental test of visual-motor integration,beery-buktenica developmental test of visual-motor integration,62.0,100
trm_52718631bc934,communication and symbolic behavior scales development profile,communication and symbolic behavior scales development profile,62.0,100
trm_4e5662373bc89,heat sensitization/adaptation,tonic stimulation model with continuous visual analog scale,59.0,36
tsk_4a57abb949a4f,eriksen flanker task,nih toolbox flanker inhibitory control and attention test,57.0,34
trm_56ac06bac9334,selection-optimization-compensation (soc) questionnaire ,selection-optimization-compensation (soc) questionnaire ,56.0,100
trm_58a5d31f5c72d,biological motion perception (passive viewing) paradigm,biological motion perception (passive viewing) paradigm,55.0,100
trm_529ce04b778b6,joint attention / social and nonsocial orienting task,joint attention / social and nonsocial orienting task,53.0,100
trm_56ac06bac9334,selection-optimization-compensation (soc) questionnaire ,soc selection-optimization-compensation questionnaire,53.0,90
trm_58a5d31f5c72d,biological motion perception (passive viewing) paradigm,passive viewing biological motion perception paradigm,53.0,69
trm_4da880ff8fd4a,cambridge neuropsychological test automated battery ,cambridge neuropsychological test automated battery ,52.0,100
trm_550b557e5f90e,social cognition (theory of mind) fmri task paradigm,social cognition (theory of mind) fmri task paradigm,52.0,100
trm_5887c029d46f4,gustatory stimulation with liquid tastes or flavors ,gustatory stimulation with liquid tastes or flavors ,52.0,100
trm_4da6338803ed2,wechsler intelligence scale for children - revised,wechsler intelligence scale for children - revised,50.0,100
trm_4da891d43240c,modified erickson scale of communication attitudes,modified erickson scale of communication attitudes,50.0,100
trm_56a91e3e982f9,i7 impulsiveness and venturesomeness questionnaire,i7 impulsiveness and venturesomeness questionnaire,50.0,100
trm_550b557e5f90e,social cognition (theory of mind) fmri task paradigm,theory of mind social cognition fmri task paradigm,50.0,69
tsk_4a57abb9498ab,behavioral rating inventory of executive function,behavioral rating inventory of executive function,49.0,100
trm_50f37f231aa4c,nih toolbox vision-related quality of life survey,nih toolbox vision-related quality of life survey,49.0,100
trm_5258346e72223,center for epidemiologic studies depression scale,center for epidemiologic studies depression scale,49.0,100
trm_55217e77441b0,manipulation of language and non-verbal behaviors,manipulation of language and non-verbal behaviors,49.0,100
trm_57c0bf6b14b90,eckblad and chapman's hypomanic personality scale,eckblad and chapman's hypomanic personality scale,49.0,100
trm_56ac06bac9334,selection-optimization-compensation (soc) questionnaire ,selection-optimization-compensation questionnaire,49.0,93
trm_52602c143d3a9,children's yale-brown obsessive compulsive scale,children's yale-brown obsessive compulsive scale,48.0,100
trm_55217d7fbfdba,manipulation of predictability and acceptability,manipulation of predictability and acceptability,48.0,100
trm_559e2af1cc0ce,hamilton psychiatric rating scale for depression,hamilton psychiatric rating scale for depression,48.0,100
tsk_4a57abb949dfe,spielberger's state-trait anxiety questionnaire,spielberger's state-trait anxiety questionnaire,47.0,100
trm_4d55a2bbcfdff,choice task between risky and non-risky options,choice task between risky and non-risky options,47.0,100
trm_4da891794859f,macarthur communicative development inventories,macarthur communicative development inventories,47.0,100
trm_558c3350c6a9f,stop signal task with dot motion discrimination,stop signal task with dot motion discrimination,47.0,100
trm_56a2a98785453,penn visual object learning test delayed memory,penn visual object learning test delayed memory,47.0,100
trm_56bbe12994926,stanford leisure-time activity categorical item,stanford leisure-time activity categorical item,47.0,100
trm_579640ddba2c0,birkbeck reversible sentence comprehension test,birkbeck reversible sentence comprehension test,47.0,100
tsk_4a57abb9499a8,clinical evaluation of language fundamentals-3,clinical evaluation of language fundamentals-3,46.0,100
trm_51c453f64d2a6,psychological refractory period (prp) paradigm,psychological refractory period (prp) paradigm,46.0,100
trm_55217860a9dea,coherent/incoherent discourse distinction task,coherent/incoherent discourse distinction task,46.0,100
trm_5667476fc14dd,inter-dimensional/extra-dimensional shift task,inter-dimensional/extra-dimensional shift task,46.0,100
trm_4f24154867d84,logical reasoning task,baddeley&#39;s grammatical transformation task,46.0,53
trm_50eb115b6c476,nih toolbox dimensional change card sort test,nih toolbox dimensional change card sort test,45.0,100
trm_526027c99b726,comprehensive test of phonological processing,comprehensive test of phonological processing,45.0,100
trm_55a6a36d9c3f9,scale for the assessment of negative symptoms,scale for the assessment of negative symptoms,45.0,100
trm_55a6cffbcb5f7,scale for the assessment of positive symptoms,scale for the assessment of positive symptoms,45.0,100
tsk_BuPIiFcjBo2aX,generalization of instrumental avoidance task,generalization of instrumental avoidance task,45.0,100
trm_550b557e5f90e,social cognition (theory of mind) fmri task paradigm,theory of mind social cognition fmri paradigm,45.0,62
trm_50eb17385e9a6,nih toolbox list sorting working memory test,nih toolbox list sorting working memory test,44.0,100
trm_50f3c003327c4,nih toolbox general life satisfaction survey,nih toolbox general life satisfaction survey,44.0,100
trm_524b563fb87c8,conners comprehensive behavior rating scales,conners comprehensive behavior rating scales,44.0,100
trm_56a2a665baeb1,adult's penn word memory test delayed memory,adult's penn word memory test delayed memory,44.0,100
dso_12685,mixed receptive-expressive language disorder,mixed receptive-expressive language disorder,44.0,100
trm_51c453f64d2a6,psychological refractory period (prp) paradigm,prp psychological refractory period paradigm,44.0,89
trm_58a5d31f5c72d,biological motion perception (passive viewing) paradigm,passive viewing biological motion perception,44.0,57
trm_4c8a840d6f969,subjective emotional picture discrimination,subjective emotional picture discrimination,43.0,100
tsk_4a57abb949f12,wechsler adult intelligence scale - revised,wechsler adult intelligence scale - revised,43.0,100
trm_5262c98a09546,expressive one word-picture vocabulary test,expressive one word-picture vocabulary test,43.0,100
trm_5298f15fe0fcf,expressive one-word picture vocabulary test,expressive one-word picture vocabulary test,43.0,100
trm_553eb28436233,multi-attribute reward-guided decision task,multi-attribute reward-guided decision task,43.0,100
trm_55a6c80b2c1d6,minnesota multiphasic personality inventory,minnesota multiphasic personality inventory,43.0,100
dso_0050667,alcohol-related neurodevelopmental disorder,alcohol-related neurodevelopmental disorder,43.0,100
trm_515495b718cd6,ax-dpx,"dot pattern expectancy,dot probe expectancy",43.0,20
trm_4b94affc43245,wechsler abbreviated scale of intelligence,wechsler abbreviated scale of intelligence,42.0,100
tsk_4a57abb949d69,salthouse and babcock listening span task ,salthouse and babcock listening span task ,42.0,100
trm_50eb4d3d96ff8,nih toolbox 9-hole pegboard dexterity test,nih toolbox 9-hole pegboard dexterity test,42.0,100
trm_553fbbf79ebc5,social influence for food preferences task,social influence for food preferences task,42.0,100
trm_55a6aa62c54f8,multidimensional personality questionnaire,multidimensional personality questionnaire,42.0,100
trm_5873e2469dd0d,synatcting and semantic fmri task paradigm,synatcting and semantic fmri task paradigm,42.0,100
trm_4cacf22a22d80,probabilistic classification task,probabilistic classification learning task,42.0,88
tsk_4a57abb949f04,wechsler adult intelligence scale-revised,wechsler adult intelligence scale-revised,41.0,100
trm_4d54b8361e93e,behavioral investment allocation strategy,behavioral investment allocation strategy,41.0,100
trm_50eb3b2d1de11,nih toolbox oral reading recognition test,nih toolbox oral reading recognition test,41.0,100
trm_50eb585f62f24,nih toolbox 4-meter walk gait speed test ,nih toolbox 4-meter walk gait speed test ,41.0,100
dso_10932,obsessive-compulsive personality disorder,obsessive-compulsive personality disorder,41.0,100
trm_550b557e5f90e,social cognition (theory of mind) fmri task paradigm,theory of mind social cognition fmri task,41.0,56
tsk_4a57abb949ece,unified parkinson's disease rating scale,unified parkinson's disease rating scale,40.0,100
trm_4da86c6808ddd,cattell's culture fair intelligence test,cattell's culture fair intelligence test,40.0,100
trm_4da88cb222308,nih toolbox picture sequence memory test,nih toolbox picture sequence memory test,40.0,100
trm_4eb1f3a8ec119,intermodal preferential looking paradigm,intermodal preferential looking paradigm,40.0,100
trm_50eb69a57bc96,nih toolbox 2-minute walk endurance test,nih toolbox 2-minute walk endurance test,40.0,100
trm_5181f863d24f4,stop signal task with pseudo word naming,stop signal task with pseudo word naming,40.0,100
trm_5298e7a465b41,early childhood behavioral questionnaire,early childhood behavioral questionnaire,40.0,100
trm_550b5a47aa23e,relational processing fmri task paradigm,relational processing fmri task paradigm,40.0,100
trm_551f0c294ce23,continuous performance test - ax version,continuous performance test - ax version,40.0,100
dso_0050776,non-specific x-linked mental retardation,non-specific x-linked mental retardation,40.0,100
dso_1094,attention deficit hyperactivity disorder,attention deficit hyperactivity disorder,40.0,100
trm_51c453f64d2a6,psychological refractory period (prp) paradigm,psychological refractory period paradigm,40.0,93
tsk_4a57abb949a78,fagerstrom test for nicotine dependence,fagerstrom test for nicotine dependence,39.0,100
tsk_4a57abb949b54,maudsley obsessive compulsive inventory,maudsley obsessive compulsive inventory,39.0,100
tsk_4a57abb949ef7,warrington's face/word recognition test,warrington's face/word recognition test,39.0,100
trm_523c7a0a73cf5,aberrant behavior checklist - community,aberrant behavior checklist - community,39.0,100
trm_551b17b190582,intensity for somatosensory stimulation,intensity for somatosensory stimulation,39.0,100
trm_553e77887abc7,becker-degroot-marschak (bdm) procedure,becker-degroot-marschak (bdm) procedure,39.0,100
trm_56aa9833c4be2,treatment self-regulation questionnaire,treatment self-regulation questionnaire,39.0,100
dso_0060037,developmental disorder of mental health,developmental disorder of mental health,39.0,100
dso_5798cf99cfaa3,ideational apraxia (conceptual apraxia),ideational apraxia (conceptual apraxia),39.0,100
trm_5154b23a3156a,production of non-facial communication,production of non-facial communication,38.0,100
tsk_4a57abb949aca,international affective picture system,international affective picture system,38.0,100
trm_4da891a546d8c,autism diagnostic observation schedule,autism diagnostic observation schedule,38.0,100
trm_50f37767e2958,nih toolbox hearing handicap inventory,nih toolbox hearing handicap inventory,38.0,100
trm_50f38098952cb,nih toolbox dynamic visual acuity test,nih toolbox dynamic visual acuity test,38.0,100
trm_50f5bfef58abb,nih toolbox meaning and purpose survey,nih toolbox meaning and purpose survey,38.0,100
trm_524055ac4fecf,broader phenotype autism symptom scale,broader phenotype autism symptom scale,38.0,100
trm_5262cb3d852c0,leiter international performance scale,leiter international performance scale,38.0,100
trm_550b54a8b30f4,language processing fmri task paradigm,language processing fmri task paradigm,38.0,100
trm_552174d3b61fb,verbal description of visual depiction,verbal description of visual depiction,38.0,100
trm_552181d7be45e,manipulation of coherence and cohesion,manipulation of coherence and cohesion,38.0,100
trm_552184243d7ab,surface properties of object paradigms,surface properties of object paradigms,38.0,100
trm_56a2a622cdfbd,penn facial memory test delayed memory,penn facial memory test delayed memory,38.0,100
trm_56a9137d9dce1,behavioral approach/inhibition systems,behavioral approach/inhibition systems,38.0,100
trm_5873d0be34b8f,emotional localizer fmri task paradigm,emotional localizer fmri task paradigm,38.0,100
trm_5154b049c279f,reception of non-facial communication,reception of non-facial communication,37.0,100
tsk_4a57abb949879,rapid serial visual presentation task,rapid serial visual presentation task,37.0,100
tsk_4a57abb9498ce,birmingham object recognition battery,birmingham object recognition battery,37.0,100
trm_4da8911e715e3,early social and communication scales,early social and communication scales,37.0,100
trm_4da8914987ee2,reynell developmental language scales,reynell developmental language scales,37.0,100
trm_4ebc9d2e397f2,classification probe without feedback,classification probe without feedback,37.0,100
trm_4ebd44cd88360,abstract/concrete judgment: bilingual,abstract/concrete judgment: bilingual,37.0,100
trm_4f240e7f989f8,auditory temporal discrimination task,auditory temporal discrimination task,37.0,100
trm_4f24211a03b07,raven's advanced progressive matrices,raven's advanced progressive matrices,37.0,100
trm_5542841f3dcd5,color-word stroop with task switching,color-word stroop with task switching,37.0,100
trm_525d847e2bd0b,autism diagnostic interview - revised,autism diagnostic interview - revised,37.0,100
trm_52713c85c0bd2,test of adolescent and adult language,test of adolescent and adult language,37.0,100
trm_550b5b066d37b,emotion processing fmri task paradigm,emotion processing fmri task paradigm,37.0,100
trm_558c36935a0e9,spatial working memory localizer task,spatial working memory localizer task,37.0,100
trm_56a2a74ab3ef6,measured emotion differentiation test,measured emotion differentiation test,37.0,100
trm_56a915fe77945,future time perspective questionnaire,future time perspective questionnaire,37.0,100
trm_56abcba3df89b,mindful attention and awareness scale,mindful attention and awareness scale,37.0,100
trm_5873cd1c9d4c4,standard localizer fmri task paradigm,standard localizer fmri task paradigm,37.0,100
trm_553e77887abc7,becker-degroot-marschak (bdm) procedure,bdm becker-degroot-marschak procedure,37.0,87
trm_58a5d31f5c72d,biological motion perception (passive viewing) paradigm,biological motion perception paradigm,37.0,80
trm_4f24154867d84,logical reasoning task,baddeley&#39;s logical reasoning task,37.0,75
dso_5798cf99cfaa3,ideational apraxia (conceptual apraxia),conceptual apraxia ideational apraxia,37.0,66
trm_55c298bbe56d5,high energy density food recognition,high energy density food recognition,36.0,100
trm_565a2e79b22f2,incentive modulated antisaccade task,incentive modulated antisaccade task,36.0,100
trm_4b94b12bf0eb2,wechsler memory scale fourth edition,wechsler memory scale fourth edition,36.0,100
trm_4da6318f7381b,probabilistic reversal learning task,probabilistic reversal learning task,36.0,100
trm_4da86cfe8cf1b,sustained attention to response task,sustained attention to response task,36.0,100
trm_4f244fee7d195,multi-attribute decision making task,multi-attribute decision making task,36.0,100
trm_50f383e76e03b,nih toolbox odor identification test,nih toolbox odor identification test,36.0,100
trm_50f3862422509,nih toolbox pain interference survey,nih toolbox pain interference survey,36.0,100
trm_523dfd5b7a9f1,broad autism phenotype questionnaire,broad autism phenotype questionnaire,36.0,100
trm_551f0713a5a17,inter-modal selective attention task,inter-modal selective attention task,36.0,100
trm_553e6b8e33da4,predictive-inference helicopter task,predictive-inference helicopter task,36.0,100
trm_553fcbbe974ba,stop signal walking task with stroop,stop signal walking task with stroop,36.0,100
trm_5586ff878155d,adult adhd clinical diagnostic scale,adult adhd clinical diagnostic scale,36.0,100
trm_56ab12e0f1a61,five facet mindfulness questionnaire,five facet mindfulness questionnaire,36.0,100
trm_5798fa39b4315,american national adult reading test,american national adult reading test,36.0,100
trm_5873ce8e77d1d,spatial localizer fmri task paradigm,spatial localizer fmri task paradigm,36.0,100
tsk_4a57abb949e7c,syntactic acceptability judgement task,syntactic acceptability judgmenttask,36.0,97
trm_550b557e5f90e,social cognition (theory of mind) fmri task paradigm,theory of mind social cognition fmri,36.0,48
trm_4b7c27094a093,behavioral inhibition (temperament),behavioral inhibition (temperament),35.0,100
trm_4c89912c79030,olfactory monitoring/discrimination,olfactory monitoring/discrimination,35.0,100
trm_4c8a84afdd863,vibrotactile monitor/discrimination,vibrotactile monitor/discrimination,35.0,100
tsk_4a57abb949af3,ishihara plates for color blindness,ishihara plates for color blindness,35.0,100
trm_4da87fb28978e,paced auditory serial addition test,paced auditory serial addition test,35.0,100
trm_5181f83b77fa4,stop signal task with letter naming,stop signal task with letter naming,35.0,100
trm_50eb0dc6668e1,nih toolbox picture vocabulary test,nih toolbox picture vocabulary test,35.0,100
trm_50f8516279419,rapid visual information processing,rapid visual information processing,35.0,100
trm_525c56680c13c,children's psychiatric rating scale,children's psychiatric rating scale,35.0,100
trm_558c35979a284,sentence/nonword language localizer,sentence/nonword language localizer,35.0,100
trm_55a6cb4f951ea,temperament and character inventory,temperament and character inventory,35.0,100
trm_56a9123fe580f,stimulus selective stop signal task,stimulus selective stop signal task,35.0,100
trm_56a91e92eab46,zimbardo time perspective inventory,zimbardo time perspective inventory,35.0,100
trm_57c0c146e0019,chapman perceptual aberration scale,chapman perceptual aberration scale,35.0,100
trm_5873d014bcfc8,social localizer fmri task paradigm,social localizer fmri task paradigm,35.0,100
dso_9923,developmental coordination disorder,developmental coordination disorder,35.0,100
trm_4f23fc8c42d28,monetary incentive delay task,monetary incentive delay (mid) task,35.0,91
trm_550b557e5f90e,social cognition (theory of mind) fmri task paradigm,social cognition fmri task paradigm,35.0,80
trm_51c453f64d2a6,psychological refractory period (prp) paradigm,prp psychological refractory period,35.0,77
trm_4b1968619b00b,color-word stroop task,stroop color-word interference task,35.0,63
trm_557b499fac085,resistance to distractor inference,resistance to distractor inference,34.0,100
trm_5595bda0c5dc3,facial trustworthiness recognition,facial trustworthiness recognition,34.0,100
trm_4b86dbcd8ff78,rapid serial object transformation,rapid serial object transformation,34.0,100
trm_4c8990f59266f,non-painful electrical stimulation,non-painful electrical stimulation,34.0,100
tsk_4a57abb949889,audio-visual target detection task,audio-visual target detection task,34.0,100
tsk_4a57abb949900,california verbal learning test-ii,california verbal learning test-ii,34.0,100
tsk_4a57abb949d09,positive and negative affect scale,positive and negative affect scale,34.0,100
tsk_4a57abb949e0c,sternberg delayed recognition task,sternberg delayed recognition task,34.0,100
